12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
,,,,3.0,25.0,3.0,1531.0,4.0,27.0,6.0,2183.0,7.0,31.0,9.0,2252.0,1.0,18.0,3.0,754.0,6.0,20.0,4.0,1721.0,29,Anzhi Makhachkala,Premier Liga,left,185.0,Ivan Markelov,Russia,W
1.0,14.0,2.0,755.0,2.0,20.0,2.0,1067.0,1.0,17.0,0.0,544.0,5.0,27.0,2.0,1630.0,6.0,29.0,8.0,1745.0,5.0,18.0,1.0,900.0,27,Anzhi Makhachkala,Premier Liga,right,181.0,Arsen Khubulov,Russia,W
0.0,0.0,0.0,0.0,1.0,16.0,2.0,724.0,0.0,33.0,9.0,2730.0,3.0,34.0,16.0,2724.0,2.0,31.0,6.0,1915.0,0.0,15.0,1.0,635.0,26,Anzhi Makhachkala,Premier Liga,right,196.0,Pylyp Budkivsky,Ukraine,CF
,,,,2.0,28.0,7.0,1748.0,0.0,24.0,4.0,1151.0,1.0,27.0,8.0,1394.0,1.0,34.0,8.0,2011.0,1.0,11.0,4.0,615.0,25,Anzhi Makhachkala,Premier Liga,right,188.0,Juan Lescano,Argentina,CF
0.0,7.0,1.0,359.0,2.0,28.0,6.0,1022.0,1.0,24.0,4.0,1282.0,1.0,32.0,3.0,2078.0,1.0,15.0,3.0,617.0,3.0,12.0,1.0,867.0,29,Anzhi Makhachkala,Premier Liga,both,185.0,Aleksandr Prudnikov,Russia,CF
,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,30.0,23,Anzhi Makhachkala,Premier Liga,right,194.0,Amur Kalmykov,Russia,CF
,,,,0.0,6.0,2.0,404.0,0.0,7.0,2.0,441.0,0.0,29.0,3.0,994.0,0.0,29.0,4.0,1221.0,0.0,5.0,0.0,144.0,21,Anzhi Makhachkala,Premier Liga,right,187.0,Pavel Dolgov,Russia,CF
2.0,28.0,7.0,2214.0,1.0,39.0,10.0,2613.0,2.0,29.0,20.0,2017.0,7.0,28.0,9.0,2503.0,15.0,30.0,15.0,2302.0,0.0,11.0,1.0,692.0,28,FK Tosno,Premier Liga,both,178.0,Ricardinho,Brazil,W
0.0,28.0,4.0,1759.0,5.0,26.0,5.0,1809.0,1.0,30.0,3.0,2616.0,4.0,28.0,9.0,1551.0,5.0,41.0,9.0,2937.0,0.0,15.0,2.0,524.0,25,FK Tosno,Premier Liga,right,182.0,Nikola Trujic,Serbia,W
0.0,1.0,0.0,20.0,2.0,9.0,3.0,561.0,2.0,27.0,1.0,1877.0,0.0,5.0,0.0,152.0,0.0,8.0,0.0,257.0,2.0,18.0,1.0,1336.0,24,FK Tosno,Premier Liga,right,180.0,Reziuan Mirzov,Russia,W
,,,,1.0,6.0,0.0,510.0,3.0,5.0,1.0,416.0,3.0,18.0,4.0,1460.0,2.0,18.0,4.0,1087.0,0.0,4.0,0.0,32.0,21,FK Tosno,Premier Liga,right,175.0,Aleksandr Makarov,Russia,W
0.0,32.0,8.0,2257.0,5.0,41.0,13.0,3196.0,2.0,33.0,7.0,2244.0,0.0,19.0,1.0,1388.0,0.0,9.0,0.0,213.0,0.0,4.0,1.0,294.0,34,FK Tosno,Premier Liga,left,188.0,Pavel Pogrebnyak,Russia,CF
0.0,1.0,0.0,90.0,1.0,21.0,0.0,771.0,0.0,2.0,0.0,90.0,1.0,18.0,2.0,764.0,4.0,27.0,5.0,1314.0,1.0,4.0,0.0,136.0,26,SKA Khabarovsk,Premier Liga,both,177.0,Alejandro Barbaro,Argentina  Italy,W
0.0,2.0,0.0,117.0,,,,,,,,,5.0,34.0,5.0,2522.0,10.0,30.0,2.0,2197.0,1.0,14.0,1.0,920.0,24,SKA Khabarovsk,Premier Liga,right,172.0,Konstantin Savichev,Russia,W
0.0,16.0,0.0,538.0,1.0,24.0,4.0,1911.0,0.0,28.0,0.0,2446.0,1.0,39.0,2.0,3406.0,4.0,35.0,4.0,2626.0,2.0,18.0,0.0,1470.0,28,SKA Khabarovsk,Premier Liga,right,166.0,Vladislav Nikiforov,Russia,W
3.0,31.0,2.0,2040.0,2.0,20.0,3.0,690.0,2.0,24.0,1.0,1244.0,3.0,30.0,1.0,1491.0,3.0,34.0,2.0,2233.0,5.0,26.0,4.0,2236.0,25,SKA Khabarovsk,Premier Liga,right,173.0,Dmitri Kabutov,Russia,W
,,,,,,,,,,,,3.0,33.0,2.0,1574.0,1.0,33.0,6.0,1979.0,2.0,19.0,1.0,1211.0,30,SKA Khabarovsk,Premier Liga,right,175.0,Maksim Kazankov,Russia  Turkmenistan,W
2.0,25.0,3.0,1406.0,5.0,24.0,3.0,1681.0,7.0,28.0,5.0,2224.0,4.0,40.0,7.0,3460.0,2.0,23.0,7.0,1939.0,1.0,17.0,2.0,1282.0,26,SKA Khabarovsk,Premier Liga,right,184.0,Maksim Kanunnikov,Russia,CF
2.0,23.0,3.0,1438.0,1.0,24.0,6.0,1331.0,0.0,12.0,4.0,631.0,0.0,18.0,2.0,1224.0,0.0,19.0,4.0,1099.0,0.0,20.0,5.0,1466.0,28,SKA Khabarovsk,Premier Liga,both,184.0,Miroslav Markovic,Serbia,CF
0.0,35.0,12.0,1564.0,2.0,19.0,0.0,691.0,1.0,36.0,31.0,3153.0,3.0,23.0,2.0,692.0,4.0,22.0,5.0,1399.0,3.0,21.0,5.0,763.0,27,SKA Khabarovsk,Premier Liga,right,187.0,Lukasz Sekulski,Poland,CF
,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,72.0,21,SKA Khabarovsk II,Premier Liga,right,169.0,Aleksandr Maksimenko,Russia,CF
,,,,,,,,,,,,5.0,29.0,12.0,2111.0,21.0,49.0,10.0,3387.0,5.0,12.0,0.0,600.0,20,FC Barcelona,LaLiga,both,178.0,Ousmane Dembélé,France  Mauritania,W
18.0,50.0,60.0,4070.0,15.0,46.0,41.0,3742.0,31.0,57.0,58.0,5060.0,26.0,49.0,41.0,4229.0,19.0,52.0,54.0,4452.0,16.0,41.0,32.0,3483.0,30,FC Barcelona,LaLiga,left,170.0,Lionel Messi,Argentina  Spain,W
9.0,45.0,7.0,3179.0,5.0,42.0,7.0,3279.0,11.0,47.0,6.0,3393.0,3.0,14.0,0.0,888.0,5.0,12.0,2.0,886.0,4.0,22.0,2.0,980.0,28,FC Barcelona,LaLiga,right,177.0,Aleix Vidal,Spain,W
13.0,44.0,30.0,3720.0,24.0,37.0,31.0,3249.0,24.0,43.0,25.0,3532.0,26.0,53.0,59.0,4766.0,20.0,51.0,37.0,4302.0,10.0,39.0,24.0,3428.0,31,FC Barcelona,LaLiga,right,182.0,Luis Suárez,Uruguay  Italy,CF
1.0,24.0,4.0,855.0,3.0,37.0,14.0,2388.0,6.0,36.0,14.0,2402.0,8.0,46.0,15.0,3087.0,4.0,28.0,8.0,1385.0,3.0,16.0,5.0,776.0,24,FC Barcelona,LaLiga,right,175.0,Paco Alcácer,Spain,CF
13.0,55.0,55.0,4631.0,17.0,47.0,51.0,4030.0,22.0,54.0,61.0,4640.0,15.0,48.0,51.0,4293.0,12.0,46.0,42.0,4126.0,5.0,34.0,33.0,2877.0,33,Real Madrid,LaLiga,both,187.0,Cristiano Ronaldo,Portugal,W
,,,,1.0,20.0,1.0,1197.0,8.0,36.0,6.0,2915.0,15.0,37.0,4.0,3047.0,4.0,38.0,10.0,1918.0,5.0,39.0,10.0,2116.0,22,Real Madrid,LaLiga,left,182.0,Marco Asensio,Spain  Netherlands,W
15.0,44.0,26.0,3891.0,19.0,44.0,22.0,3328.0,12.0,48.0,17.0,4038.0,15.0,31.0,19.0,2382.0,5.0,27.0,9.0,1937.0,7.0,28.0,11.0,1707.0,28,Real Madrid,LaLiga,left,185.0,Gareth Bale,Wales,W
